STORER,LOT,ITEMNUMBER,STORERLOT,DOCUMENTNUMBER,STARTDATE,STARTTIME,COMPLETIONDATE,COMPLETIONTIME,COMPLETEDBY,PALLET,DOCUMENTDESCRIPTION,REASON,FULLDESCRIPTION,CUSTOMERNAME,FROMTO,QUANTITY,INNERPACK,CREATEDATE,CREATETIME,UMIID,CASES
"010103","0943024   ","MST00037                 ","4545814393          ","0318959   ","2023-10-06","08.31.21","2023-10-06","08.31.21","cynthias  ","0943024-01  ","Pick                          ",,"ELEVATOR PARTS                                                                                      ","KONE-MOD                      ","From: C050C02    To: *PICK     ",-1       ,1      ,"2023-10-06","08.31.21",0      ,1.00       
"010103","0932087   ","MST00010                 ","4545762323          ","0318959   ","2023-10-06","08.31.22","2023-10-06","08.31.22","cynthias  ","0932087-01  ","Pick                          ",,"CARTOP HANDRAIL                                                                                     ","KONE-MOD                      ","From: D045D01    To: *PICK     ",-1       ,1      ,"2023-10-06","08.31.22",0      ,1.00       
"010103","0932087   ","MST00010                 ","4545762323          ","0318959   ","2023-10-06","08.31.22","2023-10-06","08.31.22","cynthias  ","0932087-02  ","Pick                          ",,"CARTOP HANDRAIL                                                                                     ","KONE-MOD                      ","From: D045D01    To: *PICK     ",-1       ,1      ,"2023-10-06","08.31.22",0      ,1.00       
"010103","0936413   ","9015988469               ","4545803655          ","0318959   ","2023-10-06","08.31.22","2023-10-06","08.31.22","cynthias  ","0933461-01  ","Pick                          ",,"CARTON BOX - DOOR OPERATOR                                                                          ","KONE-MOD                      ","From: E030B01    To: *PICK     ",-1       ,1      ,"2023-10-06","08.31.22",0      ,1.00       
"010103","0933195   ","159662649                ","4545802021          ","0318959   ","2023-10-06","08.31.22","2023-10-06","08.31.22","cynthias  ","0932260-01  ","Pick                          ",,"BOX, ELEVATOR PARTS                                                                                 ","KONE-MOD                      ","From: E044E01    To: *PICK     ",-1       ,1      ,"2023-10-06","08.31.22",0      ,1.00       
"010103","0936028   ","59148151                 ","4545820303          ","0318959   ","2023-10-06","08.31.23","2023-10-06","08.31.23","cynthias  ","0935080-01  ","Pick                          ",,"HYDRO ELECTRICAL PACK                                                                               ","KONE-MOD                      ","From: F034C02    To: *PICK     ",-1       ,1      ,"2023-10-06","08.31.23",0      ,1.00       
"010103","0940406   ","MST00078                 ","4545813043          ","0318959   ","2023-10-06","08.31.23","2023-10-06","08.31.23","cynthias  ","0940406-01  ","Pick                          ",,"POWER UNIT                                                                                          ","KONE-MOD                      ","From: F066C01    To: *PICK     ",-1       ,1      ,"2023-10-06","08.31.23",0      ,1.00       
"010103","0934398   ","159656569                ","4545802017          ","0318959   ","2023-10-06","08.31.23","2023-10-06","08.31.23","cynthias  ","0934074-01  ","Pick                          ",,"BOX, ELEVATOR PARTS                                                                                 ","KONE-MOD                      ","From: F090E01    To: *PICK     ",-1       ,1      ,"2023-10-06","08.31.23",0      ,1.00       
"010103","0935389   ","59148271                 ","4545820316          ","0318959   ","2023-10-06","08.31.23","2023-10-06","08.31.23","cynthias  ","0934500-01  ","Pick                          ",,"ELECTRICAL PACK                                                                                     ","KONE-MOD                      ","From: H065G03    To: *PICK     ",-1       ,1      ,"2023-10-06","08.31.23",0      ,1.00       
"010103","0934125   ","80106483                 ","4545818936          ","0318959   ","2023-10-06","08.31.24","2023-10-06","08.31.24","cynthias  ","0933689-01  ","Pick                          ",,"BOX, ELEVATOR PARTS                                                                                 ","KONE-MOD                      ","From: H084E03    To: *PICK     ",-1       ,1      ,"2023-10-06","08.31.24",0      ,1.00       
"001859","0907473   ","HFS875                   ","3109                ","0998361   ","2023-10-06","08.31.18","2023-10-06","08.31.24","CARLOS    ","0907473-01  ","Move                          ",,"Sprout Organics CoComelon Yes Yes More Veggies 8+ Months 3.5 oz                                     ","Sprout Foods, Inc             ","From: A018       To: A037      ",116      ,2      ,"2023-10-06","08.31.24",0      ,-58.00     
"001859","0909391   ","HFS875                   ","3110                ","0998362   ","2023-10-06","08.31.32","2023-10-06","08.31.40","CARLOS    ","0909391-01  ","Move                          ",,"Sprout Organics CoComelon Yes Yes More Veggies 8+ Months 3.5 oz                                     ","Sprout Foods, Inc             ","From: A018       To: A037      ",180      ,2      ,"2023-10-06","08.31.40",0      ,-90.00     
